code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f
sh603100,2014-12-31,14.990000,15.380000,14.730000,15.290000,0.042974,6889341.000000,103792723.000000,1529000000.000000,6039550000.000000,0.068893,15.290020,,,,,,,15.335236
sh603100,2014-12-30,14.380000,14.740000,14.350000,14.660000,0.012431,3038192.000000,44148066.000000,1466000000.000000,5790700000.000000,0.030382,14.660021,,,,,,,14.703373
sh603100,2014-12-29,14.880000,14.940000,14.370000,14.480000,-0.026882,3560883.000000,51598315.000000,1448000000.000000,5719600000.000000,0.035609,14.480019,,,,,,,14.522840
sh603100,2014-12-26,15.010000,15.010000,14.770000,14.880000,-0.011296,3696778.000000,54937623.000000,1488000000.000000,5877600000.000000,0.036968,14.880024,,,,,,,14.924027
sh603100,2014-12-25,14.840000,15.150000,14.630000,15.050000,0.012786,4162605.000000,61905386.000000,1505000000.000000,5944750000.000000,0.041626,15.050029,,,,,,,15.094535
sh603100,2014-12-24,14.720000,14.950000,14.600000,14.860000,0.026243,3667047.000000,54213578.000000,1486000000.000000,5869700000.000000,0.036670,14.860029,,,,,,,14.903973
sh603100,2014-12-23,14.240000,15.000000,14.150000,14.480000,0.006254,3849274.000000,56475413.000000,1448000000.000000,5719600000.000000,0.038493,14.480030,,,,,,,14.522850
sh603100,2014-12-22,15.210000,15.210000,14.350000,14.390000,-0.064977,6743031.000000,97898944.000000,1439000000.000000,5684050000.000000,0.067430,14.390034,,,,,,,14.432588
sh603100,2014-12-19,15.930000,15.930000,15.150000,15.390000,-0.040524,7341084.000000,113054644.000000,1539000000.000000,6079050000.000000,0.073411,15.390033,,,,,,,15.435544
sh603100,2014-12-18,15.500000,16.280000,15.400000,16.040000,0.030848,7466532.000000,119736666.000000,1604000000.000000,6335800000.000000,0.074665,16.040039,,,,,,,16.087472
sh603100,2014-12-17,15.980000,15.980000,15.360000,15.560000,-0.032338,6782160.000000,106059929.000000,1556000000.000000,6146200000.000000,0.067822,15.560043,,,,,,,15.606057
sh603100,2014-12-16,16.390000,16.450000,15.900000,16.080000,-0.028399,7835764.000000,126082582.000000,1608000000.000000,6351600000.000000,0.078358,16.080039,,,,,,,16.127591
sh603100,2014-12-15,16.270000,16.650000,16.110000,16.550000,0.008531,4997812.000000,82016645.000000,1655000000.000000,6537250000.000000,0.049978,16.550044,,,,,,,16.598985
sh603100,2014-12-12,16.570000,16.690000,16.240000,16.410000,-0.008459,4910226.000000,80546770.000000,1641000000.000000,6481950000.000000,0.049102,16.410050,,,,,,,16.458577
sh603100,2014-12-11,15.730000,16.570000,15.700000,16.550000,0.036318,7290473.000000,118661266.000000,1655000000.000000,6537250000.000000,0.072905,16.550047,,,,,,,16.598988
sh603100,2014-12-10,15.260000,16.090000,15.260000,15.970000,0.048588,6699893.000000,105321097.000000,1597000000.000000,6308150000.000000,0.066999,15.970046,,,,,,,16.017273
sh603100,2014-12-09,16.470000,16.470000,15.140000,15.230000,-0.083634,10968112.000000,175822824.000000,1523000000.000000,6015850000.000000,0.109681,15.230049,,,,,,,15.275087
sh603100,2014-12-08,16.620000,16.850000,16.300000,16.620000,-0.002999,8672761.000000,143317142.000000,1662000000.000000,6564900000.000000,0.086728,16.620050,,,,,,,16.669199
sh603100,2014-12-05,17.700000,17.740000,16.300000,16.670000,-0.056593,12950077.000000,219697555.000000,1667000000.000000,6584650000.000000,0.129501,16.670044,,,,,,,16.719340
sh603100,2014-12-04,17.610000,17.870000,17.500000,17.670000,-0.005627,11352193.000000,200220069.000000,1767000000.000000,6979650000.000000,0.113522,17.670044,,,,,,,17.722298
sh603100,2014-12-03,18.250000,18.270000,17.500000,17.770000,-0.029492,14413656.000000,255846456.000000,1777000000.000000,7019150000.000000,0.144137,17.770036,,,,,,,17.822586
sh603100,2014-12-02,17.800000,18.520000,17.730000,18.310000,0.027497,14688742.000000,268139504.000000,1831000000.000000,7232450000.000000,0.146887,18.310036,,,,,,,18.364182
sh603100,2014-12-01,17.660000,18.100000,17.510000,17.820000,-0.000561,8713684.000000,154854501.000000,1782000000.000000,7038900000.000000,0.087137,17.820038,,,,,,,17.872735
sh603100,2014-11-28,18.100000,18.270000,17.440000,17.830000,-0.024083,15611425.000000,277735179.000000,1783000000.000000,7042850000.000000,0.156114,17.830041,,,,,,,17.882768
sh603100,2014-11-27,18.670000,18.890000,18.160000,18.270000,-0.022472,16951957.000000,312083028.000000,1827000000.000000,7216650000.000000,0.169520,18.270038,,,,,,,18.324066
sh603100,2014-11-26,18.360000,19.200000,18.190000,18.690000,0.010817,18063401.000000,336783977.000000,1869000000.000000,7382550000.000000,0.180634,18.690041,,,,,,,18.745311
sh603100,2014-11-25,18.290000,18.810000,18.000000,18.490000,-0.019618,23808675.000000,438992993.000000,1849000000.000000,7303550000.000000,0.238087,18.490034,,,,,,,18.544713
sh603100,2014-11-24,17.910000,19.320000,17.660000,18.860000,0.074032,35465395.000000,664342375.000000,1886000000.000000,7449700000.000000,0.354654,18.860030,,,,,,,18.915803
sh603100,2014-11-21,17.010000,18.210000,17.010000,17.560000,0.019744,20814608.000000,369767885.000000,1756000000.000000,6936200000.000000,0.208146,17.560026,,,,,,,17.611955
sh603100,2014-11-20,16.800000,17.570000,16.620000,17.220000,0.006429,13837655.000000,237858422.000000,1722000000.000000,6801900000.000000,0.138377,17.220034,,,,,,,17.270957
sh603100,2014-11-19,17.390000,17.470000,16.920000,17.110000,-0.027841,12834198.000000,219888000.000000,1711000000.000000,6758450000.000000,0.128342,17.110034,,,,,,,17.160631
sh603100,2014-11-18,17.000000,17.970000,16.880000,17.600000,0.025044,18623063.000000,325621909.000000,1760000000.000000,6952000000.000000,0.186231,17.600036,,,,,,,17.652083
sh603100,2014-11-17,16.990000,17.800000,16.610000,17.170000,-0.036476,19059243.000000,328165246.000000,1717000000.000000,6782150000.000000,0.190592,17.170030,,,,,,,17.220805
sh603100,2014-11-14,19.810000,19.810000,17.820000,17.820000,-0.100000,26269017.000000,480501148.000000,1782000000.000000,7038900000.000000,0.262690,17.820034,,,,,,,17.872731
sh603100,2014-11-13,18.450000,19.800000,18.110000,19.800000,0.100000,19727769.000000,376213439.000000,1980000000.000000,7821000000.000000,0.197278,19.800037,,,,,,,19.858590
sh603100,2014-11-12,16.300000,18.000000,16.290000,18.000000,0.100244,25631202.000000,444985556.000000,1800000000.000000,7110000000.000000,0.256312,18.000034,,,,,,,18.053263
sh603100,2014-11-11,17.310000,17.380000,16.020000,16.360000,-0.063537,21892029.000000,365219028.000000,1636000000.000000,6462200000.000000,0.218920,16.360038,,,,,,,16.408418
sh603100,2014-11-10,17.050000,17.680000,16.710000,17.470000,0.031287,25397585.000000,438690361.000000,1747000000.000000,6900650000.000000,0.253976,17.470032,,,,,,,17.521694
sh603100,2014-11-07,16.930000,18.490000,16.860000,16.940000,-0.020809,35565513.000000,623819083.000000,1694000000.000000,6691300000.000000,0.355655,16.940029,,,,,,,16.990124
sh603100,2014-11-06,16.780000,17.680000,16.600000,17.300000,0.049121,37501853.000000,643545224.000000,1730000000.000000,6833500000.000000,0.375019,17.300025,,,,,,,17.351185
sh603100,2014-11-05,14.930000,16.490000,14.710000,16.490000,0.100067,16426419.000000,259530714.000000,1649000000.000000,6513550000.000000,0.164264,16.490019,,,,,,,16.538783
sh603100,2014-11-04,15.190000,15.490000,14.900000,14.990000,-0.022816,11503253.000000,174094784.000000,1499000000.000000,5921050000.000000,0.115033,14.990013,,,,,,,15.034342
sh603100,2014-11-03,15.200000,15.690000,15.130000,15.340000,0.007223,15139651.000000,232626530.000000,1534000000.000000,6059300000.000000,0.151397,15.340011,,,,,,,15.385374
sh603100,2014-10-31,14.710000,15.480000,14.700000,15.230000,0.048176,27181139.000000,412194621.000000,1523000000.000000,6015850000.000000,0.271811,15.230005,,,,,,,15.275043
sh603100,2014-10-30,14.510000,14.670000,14.320000,14.530000,0.003453,10024851.000000,145459047.000000,1453000000.000000,5739350000.000000,0.100249,14.530007,,,,,,,14.572975
sh603100,2014-10-29,14.400000,14.590000,14.300000,14.480000,0.010468,8473557.000000,122271650.000000,1448000000.000000,5719600000.000000,0.084736,14.480008,,,,,,,14.522828
sh603100,2014-10-28,13.990000,14.350000,13.970000,14.330000,0.029454,6216649.000000,88017325.000000,1433000000.000000,5660350000.000000,0.062166,14.330001,,,,,,,14.372378
sh603100,2014-10-27,13.950000,13.950000,13.620000,13.920000,-0.010661,4644522.000000,64154709.000000,1392000000.000000,5498400000.000000,0.046445,13.920001,,,,,,,13.961165
sh603100,2014-10-24,14.170000,14.300000,13.930000,14.070000,-0.014015,6821080.000000,96105586.000000,1407000000.000000,5557650000.000000,0.068211,14.070002,,,,,,,14.111609
sh603100,2014-10-23,14.690000,14.970000,14.200000,14.270000,-0.037112,10266007.000000,148670481.000000,1427000000.000000,5636650000.000000,0.102660,14.269996,,,,,,,14.312195
sh603100,2014-10-22,14.370000,15.250000,14.370000,14.820000,0.030598,22973495.000000,342006979.000000,1482000000.000000,5853900000.000000,0.229735,14.819995,,,,,,,14.863821
sh603100,2014-10-21,14.080000,14.450000,14.010000,14.380000,0.017693,9297288.000000,132830239.000000,1438000000.000000,5680100000.000000,0.092973,14.379996,,,,,,,14.422521
sh603100,2014-10-20,13.880000,14.150000,13.800000,14.130000,0.020217,3815707.000000,53469838.000000,1413000000.000000,5581350000.000000,0.038157,14.129994,,,,,,,14.171779
sh603100,2014-10-17,13.950000,14.020000,13.480000,13.850000,-0.010007,5875742.000000,80978004.000000,1385000000.000000,5470750000.000000,0.058757,13.849989,,,,,,,13.890946
sh603100,2014-10-16,14.020000,14.240000,13.970000,13.990000,-0.010608,4085306.000000,57656556.000000,1399000000.000000,5526050000.000000,0.040853,13.989987,,,,,,,14.031358
sh603100,2014-10-15,14.170000,14.250000,13.990000,14.140000,-0.002821,3491792.000000,49220376.000000,1414000000.000000,5585300000.000000,0.034918,14.139984,,,,,,,14.181798
