code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f
sz000597,2014-12-31,10.700000,10.720000,10.400000,10.590000,-0.009355,3727959.000000,39328929.980000,3505073110.000000,5026597190.000000,0.011263,22.837520,2014-09-30,2014-10-30,-185.408736,1.179861,-85.513492,1.907972,10.570456
sz000597,2014-12-30,10.480000,10.760000,10.400000,10.690000,0.020038,5139609.000000,54695868.430000,3538171060.000000,5074062700.000000,0.015528,23.053183,2014-09-30,2014-10-30,-187.159615,1.191003,-86.321025,1.925990,10.670276
sz000597,2014-12-29,10.640000,10.640000,10.450000,10.480000,-0.015962,3374321.000000,35436900.560000,3468665360.000000,4974385130.000000,0.010195,22.600318,2014-09-30,2014-10-30,-183.482983,1.167607,-84.625303,1.888155,10.460665
sz000597,2014-12-26,10.530000,10.650000,10.410000,10.650000,0.011396,4281773.000000,45122999.940000,3524931880.000000,5055076500.000000,0.012937,22.966915,2014-09-30,2014-10-30,-186.459245,1.186546,-85.998003,1.918782,10.630347
sz000597,2014-12-25,10.570000,10.630000,10.450000,10.530000,0.002857,2970823.000000,31285474.330000,3485214340.000000,4998117890.000000,0.008976,22.708134,2014-09-30,2014-10-30,-184.358298,1.173177,-85.029012,1.897162,10.510569
sz000597,2014-12-24,10.310000,10.500000,10.310000,10.500000,0.019417,2971794.000000,30992861.800000,3475284950.000000,4983878240.000000,0.008979,22.643441,2014-09-30,2014-10-30,-183.833087,1.169835,-84.786777,1.891758,10.480625
sz000597,2014-12-23,10.400000,10.570000,10.250000,10.300000,-0.009615,3507050.000000,36585436.020000,3409089050.000000,4888947220.000000,0.010596,22.212148,2014-09-30,2014-10-30,-180.331588,1.147553,-83.171829,1.855725,10.280999
sz000597,2014-12-22,10.870000,10.890000,10.100000,10.400000,-0.037928,8200143.000000,85100084.100000,3442187000.000000,4936412730.000000,0.024775,22.427791,2014-09-30,2014-10-30,-182.082310,1.158693,-83.979290,1.873741,10.380811
sz000597,2014-12-19,11.200000,11.200000,10.710000,10.810000,-0.035682,9192699.000000,100124830.830000,3577888600.000000,5131021310.000000,0.027774,23.311968,2014-09-30,2014-10-30,-189.260585,1.204373,-87.290026,1.947610,10.790056
sz000597,2014-12-18,11.350000,11.380000,11.190000,11.210000,-0.009717,5453633.000000,61288066.200000,3710280410.000000,5320883330.000000,0.016477,24.174564,2014-09-30,2014-10-30,-196.263665,1.248937,-90.519959,2.019676,11.189313
sz000597,2014-12-17,11.470000,11.570000,11.270000,11.320000,-0.014795,6925183.000000,78846282.560000,3746688160.000000,5373095390.000000,0.020923,24.411774,2014-09-30,2014-10-30,-198.189472,1.261192,-91.408173,2.039494,11.299107
sz000597,2014-12-16,11.710000,11.750000,11.480000,11.490000,-0.016267,7150421.000000,82796950.820000,3802954670.000000,5453786750.000000,0.021604,24.778370,2014-09-30,2014-10-30,-201.165719,1.280132,-92.780866,2.070121,11.468787
sz000597,2014-12-15,11.660000,11.780000,11.550000,11.680000,0.001715,7368921.000000,86216589.860000,3865840780.000000,5543971220.000000,0.022264,25.188104,2014-09-30,2014-10-30,-204.492194,1.301300,-94.315089,2.104353,11.658435
sz000597,2014-12-12,11.660000,11.720000,11.510000,11.660000,0.005172,5335383.000000,61981803.550000,3859221190.000000,5534478120.000000,0.016120,25.144981,2014-09-30,2014-10-30,-204.142090,1.299072,-94.153616,2.100750,11.638475
sz000597,2014-12-11,11.390000,11.630000,11.380000,11.600000,0.020229,6488891.000000,74720019.520000,3839362420.000000,5505998810.000000,0.019605,25.015600,2014-09-30,2014-10-30,-203.091700,1.292388,-93.669159,2.089941,11.578591
sz000597,2014-12-10,11.140000,11.480000,11.130000,11.370000,0.018817,5866274.000000,66610986.010000,3763237130.000000,5396828150.000000,0.017724,24.519593,2014-09-30,2014-10-30,-199.064818,1.266763,-91.811896,2.048502,11.349011
sz000597,2014-12-09,11.640000,11.770000,11.120000,11.160000,-0.053435,11820304.000000,135813425.970000,3693731430.000000,5297150580.000000,0.035713,24.066730,2014-09-30,2014-10-30,-195.388198,1.243366,-90.116180,2.010667,11.139401
sz000597,2014-12-08,11.700000,11.980000,11.520000,11.790000,0.000849,8211737.000000,96898075.600000,3902248530.000000,5596183280.000000,0.024810,25.425332,2014-09-30,2014-10-30,-206.418152,1.313556,-95.203372,2.124172,11.768237
sz000597,2014-12-05,12.300000,12.300000,11.410000,11.780000,-0.039935,11933910.000000,142054089.330000,3898938730.000000,5591436720.000000,0.036056,25.403764,2014-09-30,2014-10-30,-206.243051,1.312442,-95.122613,2.122370,11.758254
sz000597,2014-12-04,11.960000,12.290000,11.860000,12.270000,0.031092,15912163.000000,193801086.460000,4061118700.000000,5824017710.000000,0.048076,26.460463,2014-09-30,2014-10-30,-214.821967,1.367034,-99.079347,2.210653,12.247352
sz000597,2014-12-03,11.800000,11.970000,11.550000,11.900000,0.004219,9100194.000000,106466968.730000,3938656280.000000,5648395330.000000,0.027495,25.662563,2014-09-30,2014-10-30,-208.344131,1.325812,-96.091664,2.143992,11.878040
sz000597,2014-12-02,11.820000,11.920000,11.750000,11.850000,0.003387,5058155.000000,59946672.760000,3922107300.000000,5624662580.000000,0.015282,25.554747,2014-09-30,2014-10-30,-207.468820,1.320242,-95.687957,2.134984,11.828137
sz000597,2014-12-01,12.040000,12.070000,11.680000,11.810000,-0.018288,6279346.000000,74079951.960000,3908868120.000000,5605676380.000000,0.018972,25.468485,2014-09-30,2014-10-30,-206.768495,1.315786,-95.364956,2.127777,11.788211
sz000597,2014-11-28,12.060000,12.060000,11.850000,12.030000,-0.003314,7503090.000000,89562272.480000,3981683610.000000,5710100490.000000,0.022669,25.942930,2014-09-30,2014-10-30,-210.620320,1.340297,-97.141479,2.167415,12.007809
sz000597,2014-11-27,12.310000,12.310000,11.950000,12.070000,0.004996,10070016.000000,121695326.250000,3994922790.000000,5729086690.000000,0.030425,26.029190,2014-09-30,2014-10-30,-211.320636,1.344754,-97.464477,2.174622,12.047736
